"eval_history_id","admin_id","user_id","course_id","chapter_id","lesson_id","degree","evaluation_date"
"2","2","1612","9","2","4","90","2023-10-25 10:56:03"
"3","2","654","9","2","4","80","2023-10-25 10:59:15"
"5","4","1305","12","7","6","100","2023-10-25 13:27:56"
"7","4","1862","12","7","6","10","2023-10-25 13:53:45"
"8","4","1612","12","7","6","40","2023-10-25 13:55:16"
"9","4","922","12","7","6","100","2023-10-25 14:10:14"
"10","4","1022","12","7","6","0","2023-10-25 14:10:42"
"11","4","1583","12","7","6","0","2023-10-25 14:14:36"
"13","4","1291","12","7","6","10","2023-10-25 14:23:20"
"15","5","1190","7","2","6","90","2023-10-25 19:00:59"
"16","5","2079","7","2","6","0","2023-10-25 19:03:52"
"17","5","1761","7","2","6","100","2023-10-25 19:06:44"
"18","5","654","7","2","6","95","2023-10-25 19:08:22"
"19","5","1648","7","2","6","95","2023-10-25 19:11:29"
"20","5","1350","7","2","6","0","2023-10-25 19:15:31"
"21","5","1965","7","2","6","100","2023-10-25 19:18:21"
"22","5","1019","7","2","6","100","2023-10-25 19:22:04"
"23","5","1348","7","2","6","50","2023-10-25 19:25:01"
"24","4","1741","4","3","8","30","2023-10-26 10:33:42"
"25","4","1528","4","3","8","100","2023-10-26 10:36:02"
"26","2","1424","3","8","8","0","2023-10-26 10:36:18"
"27","2","932","3","8","8","0","2023-10-26 10:37:26"
"29","4","1424","4","3","8","0","2023-10-26 11:04:05"
"30","4","932","4","3","8","30","2023-10-26 11:05:00"
"31","4","1291","12","7","6","100","2023-10-26 11:30:31"
"33","4","654","12","7","6","0","2023-10-26 11:35:45"
"34","4","2057","12","7","6","100","2023-10-26 11:36:52"
"36","4","631","12","7","6","20","2023-10-26 11:39:40"
"38","4","771","12","7","6","100","2023-10-26 11:41:38"
"39","4","712","12","7","6","100","2023-10-26 11:41:46"
"40","3","1085","3","4","10","45","2023-10-28 08:24:21"
"42","3","712","10","4","2","90","2023-10-28 08:44:48"
"43","3","1305","10","4","2","90","2023-10-28 08:53:22"
"44","3","922","10","4","2","95","2023-10-28 08:56:14"
"45","3","654","10","4","2","95","2023-10-28 09:19:30"
"46","3","1085","3","4","10","45","2023-10-29 08:03:49"
"47","2","1594","9","2","4","70","2023-10-29 10:55:00"
"48","2","1291","9","2","4","80","2023-10-29 10:57:21"
"49","2","2079","9","2","4","70","2023-10-29 10:59:55"
"51","2","659","9","2","4","70","2023-10-30 11:12:38"
"52","4","2083","4","3","8","100","2023-10-31 14:16:15"
"53","4","1741","4","3","8","100","2023-10-31 14:20:02"
"54","4","1612","12","7","6","100","2023-10-31 14:54:24"
"56","4","1022","12","7","6","100","2023-10-31 15:04:53"
"60","2","1761","9","2","4","80","2023-11-01 09:57:15"
"61","9","1739","5","4","8","100","2023-11-01 09:57:26"
"62","4","654","12","7","6","100","2023-11-01 10:07:49"
"63","3","1085","3","4","10","70","2023-11-02 18:07:14"
"67","3","712","10","4","2","90","2023-11-02 18:21:24"
"69","9","1305","10","2","5","70","2023-11-03 15:01:21"
"70","9","1862","10","2","5","67","2023-11-03 15:08:45"
"71","9","771","10","2","5","60","2023-11-03 15:11:24"
"72","9","654","10","2","5","55","2023-11-03 15:13:01"
"73","9","922","10","2","5","55","2023-11-03 15:13:40"
"75","9","1612","10","2","5","70","2023-11-03 15:17:56"
"76","9","712","10","2","5","0","2023-11-03 16:09:03"
"77","3","1211","3","4","10","0","2023-11-04 08:12:31"
"79","3","771","10","4","2","0","2023-11-04 08:20:11"
